Barking and Dagenham,2
Barnet,140
Bexley,0
Brent,14
Bromley,7
Camden,41
Croydon,1
Ealing,8
Enfield,17
Greenwich,0
Hackney,81
Hammersmith and Fulham,6
Haringey,32
Harrow,12
Havering,4
Hillingdon,6
Hounslow,5
Islington,9
Kensington and Chelsea,7
Kingston upon Thames,4
Lambeth,2
Lewisham,4
Merton,0
Newham,3
Redbridge,25
Richmond upon Thames,3
Southwark,8
Sutton,0
Tower Hamlets,18
Waltham Forest,3
Wandsworth,6
Westminster,26
